
  0%|          | 0/500 [00:00<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.624017 | DKL-prior 0.000097 | BCE 0.671585 | auROC 0.6240:   0%|          | 0/500 [00:31<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.624017 | DKL-prior 0.000097 | BCE 0.671585 | auROC 0.6240:   0%|          | 0/500 [00:31<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.624017 | DKL-prior 0.000097 | BCE 0.671585 | auROC 0.6240:   0%|          | 1/500 [00:31<4:22:26, 31.56s/it]
[VAL] Best epoch 2 | Best val score -0.625049 | DKL-prior 0.000186 | BCE 0.669932 | auROC 0.6250:   0%|          | 1/500 [01:01<4:22:26, 31.56s/it]
[VAL] Best epoch 2 | Best val score -0.625049 | DKL-prior 0.000186 | BCE 0.669932 | auROC 0.6250:   0%|          | 1/500 [01:01<4:22:26, 31.56s/it]
[VAL] Best epoch 2 | Best val score -0.625049 | DKL-prior 0.000186 | BCE 0.669932 | auROC 0.6250:   0%|          | 2/500 [01:01<4:16:00, 30.84s/it]
[VAL] Best epoch 3 | Best val score -0.633460 | DKL-prior 0.000248 | BCE 0.667337 | auROC 0.6335:   0%|          | 2/500 [01:32<4:16:00, 30.84s/it]
[VAL] Best epoch 3 | Best val score -0.633460 | DKL-prior 0.000248 | BCE 0.667337 | auROC 0.6335:   0%|          | 2/500 [01:32<4:16:00, 30.84s/it]
[VAL] Best epoch 3 | Best val score -0.633460 | DKL-prior 0.000248 | BCE 0.667337 | auROC 0.6335:   1%|          | 3/500 [01:32<4:12:40, 30.50s/it]
[VAL] Best epoch 4 | Best val score -0.637819 | DKL-prior 0.000247 | BCE 0.664415 | auROC 0.6378:   1%|          | 3/500 [02:02<4:12:40, 30.50s/it]
[VAL] Best epoch 4 | Best val score -0.637819 | DKL-prior 0.000247 | BCE 0.664415 | auROC 0.6378:   1%|          | 3/500 [02:02<4:12:40, 30.50s/it]
[VAL] Best epoch 4 | Best val score -0.637819 | DKL-prior 0.000247 | BCE 0.664415 | auROC 0.6378:   1%|          | 4/500 [02:02<4:11:30, 30.42s/it]
[VAL] Best epoch 5 | Best val score -0.665465 | DKL-prior 0.000244 | BCE 0.652052 | auROC 0.6655:   1%|          | 4/500 [02:33<4:11:30, 30.42s/it]
[VAL] Best epoch 5 | Best val score -0.665465 | DKL-prior 0.000244 | BCE 0.652052 | auROC 0.6655:   1%|          | 4/500 [02:33<4:11:30, 30.42s/it]
[VAL] Best epoch 5 | Best val score -0.665465 | DKL-prior 0.000244 | BCE 0.652052 | auROC 0.6655:   1%|          | 5/500 [02:33<4:11:56, 30.54s/it]
[VAL] Best epoch 6 | Best val score -0.690038 | DKL-prior 0.000303 | BCE 0.641737 | auROC 0.6900:   1%|          | 5/500 [03:03<4:11:56, 30.54s/it]
[VAL] Best epoch 6 | Best val score -0.690038 | DKL-prior 0.000303 | BCE 0.641737 | auROC 0.6900:   1%|          | 5/500 [03:03<4:11:56, 30.54s/it]
[VAL] Best epoch 6 | Best val score -0.690038 | DKL-prior 0.000303 | BCE 0.641737 | auROC 0.6900:   1%|          | 6/500 [03:03<4:12:22, 30.65s/it]
[VAL] Best epoch 7 | Best val score -0.729403 | DKL-prior 0.000401 | BCE 0.609249 | auROC 0.7294:   1%|          | 6/500 [03:34<4:12:22, 30.65s/it]
[VAL] Best epoch 7 | Best val score -0.729403 | DKL-prior 0.000401 | BCE 0.609249 | auROC 0.7294:   1%|          | 6/500 [03:34<4:12:22, 30.65s/it]
[VAL] Best epoch 7 | Best val score -0.729403 | DKL-prior 0.000401 | BCE 0.609249 | auROC 0.7294:   1%|▏         | 7/500 [03:34<4:12:09, 30.69s/it]
[VAL] Best epoch 7 | Best val score -0.729403 | DKL-prior 0.000401 | BCE 0.609249 | auROC 0.7294:   2%|▏         | 8/500 [04:05<4:11:05, 30.62s/it]
[VAL] Best epoch 9 | Best val score -0.750993 | DKL-prior 0.000406 | BCE 0.590412 | auROC 0.7510:   2%|▏         | 8/500 [04:35<4:11:05, 30.62s/it]
[VAL] Best epoch 9 | Best val score -0.750993 | DKL-prior 0.000406 | BCE 0.590412 | auROC 0.7510:   2%|▏         | 8/500 [04:35<4:11:05, 30.62s/it]
[VAL] Best epoch 9 | Best val score -0.750993 | DKL-prior 0.000406 | BCE 0.590412 | auROC 0.7510:   2%|▏         | 9/500 [04:35<4:09:27, 30.48s/it]
[VAL] Best epoch 10 | Best val score -0.753600 | DKL-prior 0.000369 | BCE 0.585076 | auROC 0.7536:   2%|▏         | 9/500 [05:05<4:09:27, 30.48s/it]
[VAL] Best epoch 10 | Best val score -0.753600 | DKL-prior 0.000369 | BCE 0.585076 | auROC 0.7536:   2%|▏         | 9/500 [05:05<4:09:27, 30.48s/it]
[VAL] Best epoch 10 | Best val score -0.753600 | DKL-prior 0.000369 | BCE 0.585076 | auROC 0.7536:   2%|▏         | 10/500 [05:05<4:08:00, 30.37s/it]
[VAL] Best epoch 11 | Best val score -0.772775 | DKL-prior 0.000358 | BCE 0.568237 | auROC 0.7728:   2%|▏         | 10/500 [05:35<4:08:00, 30.37s/it]
[VAL] Best epoch 11 | Best val score -0.772775 | DKL-prior 0.000358 | BCE 0.568237 | auROC 0.7728:   2%|▏         | 10/500 [05:35<4:08:00, 30.37s/it]
[VAL] Best epoch 11 | Best val score -0.772775 | DKL-prior 0.000358 | BCE 0.568237 | auROC 0.7728:   2%|▏         | 11/500 [05:35<4:06:35, 30.26s/it]
[VAL] Best epoch 12 | Best val score -0.776736 | DKL-prior 0.000409 | BCE 0.560376 | auROC 0.7767:   2%|▏         | 11/500 [06:05<4:06:35, 30.26s/it]
[VAL] Best epoch 12 | Best val score -0.776736 | DKL-prior 0.000409 | BCE 0.560376 | auROC 0.7767:   2%|▏         | 11/500 [06:05<4:06:35, 30.26s/it]
[VAL] Best epoch 12 | Best val score -0.776736 | DKL-prior 0.000409 | BCE 0.560376 | auROC 0.7767:   2%|▏         | 12/500 [06:05<4:05:11, 30.15s/it]
[VAL] Best epoch 13 | Best val score -0.779479 | DKL-prior 0.000389 | BCE 0.561454 | auROC 0.7795:   2%|▏         | 12/500 [06:35<4:05:11, 30.15s/it]
[VAL] Best epoch 13 | Best val score -0.779479 | DKL-prior 0.000389 | BCE 0.561454 | auROC 0.7795:   2%|▏         | 12/500 [06:35<4:05:11, 30.15s/it]
[VAL] Best epoch 13 | Best val score -0.779479 | DKL-prior 0.000389 | BCE 0.561454 | auROC 0.7795:   3%|▎         | 13/500 [06:35<4:04:17, 30.10s/it]
[VAL] Best epoch 14 | Best val score -0.782481 | DKL-prior 0.000380 | BCE 0.555634 | auROC 0.7825:   3%|▎         | 13/500 [07:05<4:04:17, 30.10s/it]
[VAL] Best epoch 14 | Best val score -0.782481 | DKL-prior 0.000380 | BCE 0.555634 | auROC 0.7825:   3%|▎         | 13/500 [07:05<4:04:17, 30.10s/it]
[VAL] Best epoch 14 | Best val score -0.782481 | DKL-prior 0.000380 | BCE 0.555634 | auROC 0.7825:   3%|▎         | 14/500 [07:05<4:03:21, 30.04s/it]
[VAL] Best epoch 15 | Best val score -0.788866 | DKL-prior 0.000376 | BCE 0.549116 | auROC 0.7889:   3%|▎         | 14/500 [07:35<4:03:21, 30.04s/it]
[VAL] Best epoch 15 | Best val score -0.788866 | DKL-prior 0.000376 | BCE 0.549116 | auROC 0.7889:   3%|▎         | 14/500 [07:35<4:03:21, 30.04s/it]
[VAL] Best epoch 15 | Best val score -0.788866 | DKL-prior 0.000376 | BCE 0.549116 | auROC 0.7889:   3%|▎         | 15/500 [07:35<4:02:22, 29.98s/it]
[VAL] Best epoch 16 | Best val score -0.792111 | DKL-prior 0.000399 | BCE 0.546627 | auROC 0.7921:   3%|▎         | 15/500 [08:05<4:02:22, 29.98s/it]
[VAL] Best epoch 16 | Best val score -0.792111 | DKL-prior 0.000399 | BCE 0.546627 | auROC 0.7921:   3%|▎         | 15/500 [08:05<4:02:22, 29.98s/it]
[VAL] Best epoch 16 | Best val score -0.792111 | DKL-prior 0.000399 | BCE 0.546627 | auROC 0.7921:   3%|▎         | 16/500 [08:05<4:02:27, 30.06s/it]
[VAL] Best epoch 17 | Best val score -0.801037 | DKL-prior 0.000407 | BCE 0.534732 | auROC 0.8010:   3%|▎         | 16/500 [08:35<4:02:27, 30.06s/it]
[VAL] Best epoch 17 | Best val score -0.801037 | DKL-prior 0.000407 | BCE 0.534732 | auROC 0.8010:   3%|▎         | 16/500 [08:35<4:02:27, 30.06s/it]
[VAL] Best epoch 17 | Best val score -0.801037 | DKL-prior 0.000407 | BCE 0.534732 | auROC 0.8010:   3%|▎         | 17/500 [08:35<4:01:48, 30.04s/it]
[VAL] Best epoch 17 | Best val score -0.801037 | DKL-prior 0.000407 | BCE 0.534732 | auROC 0.8010:   4%|▎         | 18/500 [09:05<4:01:24, 30.05s/it]
[VAL] Best epoch 19 | Best val score -0.805104 | DKL-prior 0.000407 | BCE 0.533066 | auROC 0.8051:   4%|▎         | 18/500 [09:35<4:01:24, 30.05s/it]
[VAL] Best epoch 19 | Best val score -0.805104 | DKL-prior 0.000407 | BCE 0.533066 | auROC 0.8051:   4%|▎         | 18/500 [09:35<4:01:24, 30.05s/it]
[VAL] Best epoch 19 | Best val score -0.805104 | DKL-prior 0.000407 | BCE 0.533066 | auROC 0.8051:   4%|▍         | 19/500 [09:35<4:00:46, 30.03s/it]
[VAL] Best epoch 20 | Best val score -0.812413 | DKL-prior 0.000437 | BCE 0.527654 | auROC 0.8124:   4%|▍         | 19/500 [10:05<4:00:46, 30.03s/it]
[VAL] Best epoch 20 | Best val score -0.812413 | DKL-prior 0.000437 | BCE 0.527654 | auROC 0.8124:   4%|▍         | 19/500 [10:05<4:00:46, 30.03s/it]
[VAL] Best epoch 20 | Best val score -0.812413 | DKL-prior 0.000437 | BCE 0.527654 | auROC 0.8124:   4%|▍         | 20/500 [10:05<4:00:27, 30.06s/it]
[VAL] Best epoch 20 | Best val score -0.812413 | DKL-prior 0.000437 | BCE 0.527654 | auROC 0.8124:   4%|▍         | 21/500 [10:35<3:59:46, 30.03s/it]
[VAL] Best epoch 20 | Best val score -0.812413 | DKL-prior 0.000437 | BCE 0.527654 | auROC 0.8124:   4%|▍         | 22/500 [11:05<3:59:28, 30.06s/it]
[VAL] Best epoch 20 | Best val score -0.812413 | DKL-prior 0.000437 | BCE 0.527654 | auROC 0.8124:   5%|▍         | 23/500 [11:35<3:59:04, 30.07s/it]
[VAL] Best epoch 20 | Best val score -0.812413 | DKL-prior 0.000437 | BCE 0.527654 | auROC 0.8124:   5%|▍         | 24/500 [12:05<3:58:25, 30.05s/it]
[VAL] Best epoch 25 | Best val score -0.823779 | DKL-prior 0.000421 | BCE 0.506707 | auROC 0.8238:   5%|▍         | 24/500 [12:35<3:58:25, 30.05s/it]
[VAL] Best epoch 25 | Best val score -0.823779 | DKL-prior 0.000421 | BCE 0.506707 | auROC 0.8238:   5%|▍         | 24/500 [12:35<3:58:25, 30.05s/it]
[VAL] Best epoch 25 | Best val score -0.823779 | DKL-prior 0.000421 | BCE 0.506707 | auROC 0.8238:   5%|▌         | 25/500 [12:35<3:57:38, 30.02s/it]
[VAL] Best epoch 25 | Best val score -0.823779 | DKL-prior 0.000421 | BCE 0.506707 | auROC 0.8238:   5%|▌         | 26/500 [13:05<3:56:32, 29.94s/it]
[VAL] Best epoch 25 | Best val score -0.823779 | DKL-prior 0.000421 | BCE 0.506707 | auROC 0.8238:   5%|▌         | 27/500 [13:35<3:56:29, 30.00s/it]
[VAL] Best epoch 28 | Best val score -0.829599 | DKL-prior 0.000450 | BCE 0.497612 | auROC 0.8296:   5%|▌         | 27/500 [14:05<3:56:29, 30.00s/it]
[VAL] Best epoch 28 | Best val score -0.829599 | DKL-prior 0.000450 | BCE 0.497612 | auROC 0.8296:   5%|▌         | 27/500 [14:05<3:56:29, 30.00s/it]
[VAL] Best epoch 28 | Best val score -0.829599 | DKL-prior 0.000450 | BCE 0.497612 | auROC 0.8296:   6%|▌         | 28/500 [14:05<3:55:49, 29.98s/it]
[VAL] Best epoch 28 | Best val score -0.829599 | DKL-prior 0.000450 | BCE 0.497612 | auROC 0.8296:   6%|▌         | 29/500 [14:35<3:55:16, 29.97s/it]
[VAL] Best epoch 28 | Best val score -0.829599 | DKL-prior 0.000450 | BCE 0.497612 | auROC 0.8296:   6%|▌         | 30/500 [15:05<3:55:19, 30.04s/it]
[VAL] Best epoch 28 | Best val score -0.829599 | DKL-prior 0.000450 | BCE 0.497612 | auROC 0.8296:   6%|▌         | 31/500 [15:35<3:54:53, 30.05s/it]
[VAL] Best epoch 28 | Best val score -0.829599 | DKL-prior 0.000450 | BCE 0.497612 | auROC 0.8296:   6%|▋         | 32/500 [16:05<3:53:24, 29.92s/it]
[VAL] Best epoch 28 | Best val score -0.829599 | DKL-prior 0.000450 | BCE 0.497612 | auROC 0.8296:   7%|▋         | 33/500 [16:35<3:53:02, 29.94s/it]
[VAL] Best epoch 34 | Best val score -0.832755 | DKL-prior 0.000410 | BCE 0.493446 | auROC 0.8328:   7%|▋         | 33/500 [17:05<3:53:02, 29.94s/it]
[VAL] Best epoch 34 | Best val score -0.832755 | DKL-prior 0.000410 | BCE 0.493446 | auROC 0.8328:   7%|▋         | 33/500 [17:05<3:53:02, 29.94s/it]
[VAL] Best epoch 34 | Best val score -0.832755 | DKL-prior 0.000410 | BCE 0.493446 | auROC 0.8328:   7%|▋         | 34/500 [17:05<3:52:51, 29.98s/it]
[VAL] Best epoch 35 | Best val score -0.833800 | DKL-prior 0.000445 | BCE 0.497287 | auROC 0.8338:   7%|▋         | 34/500 [17:35<3:52:51, 29.98s/it]
[VAL] Best epoch 35 | Best val score -0.833800 | DKL-prior 0.000445 | BCE 0.497287 | auROC 0.8338:   7%|▋         | 34/500 [17:35<3:52:51, 29.98s/it]
[VAL] Best epoch 35 | Best val score -0.833800 | DKL-prior 0.000445 | BCE 0.497287 | auROC 0.8338:   7%|▋         | 35/500 [17:35<3:52:27, 29.99s/it]
