
  0%|          | 0/500 [00:00<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.663773 | DKL-prior 0.000123 | BCE 0.646810 | auROC 0.6638:   0%|          | 0/500 [01:13<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.663773 | DKL-prior 0.000123 | BCE 0.646810 | auROC 0.6638:   0%|          | 0/500 [01:13<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.663773 | DKL-prior 0.000123 | BCE 0.646810 | auROC 0.6638:   0%|          | 1/500 [01:13<10:11:42, 73.55s/it]
[VAL] Best epoch 2 | Best val score -0.700164 | DKL-prior 0.000218 | BCE 0.628357 | auROC 0.7002:   0%|          | 1/500 [02:26<10:11:42, 73.55s/it]
[VAL] Best epoch 2 | Best val score -0.700164 | DKL-prior 0.000218 | BCE 0.628357 | auROC 0.7002:   0%|          | 1/500 [02:26<10:11:42, 73.55s/it]
[VAL] Best epoch 2 | Best val score -0.700164 | DKL-prior 0.000218 | BCE 0.628357 | auROC 0.7002:   0%|          | 2/500 [02:26<10:08:57, 73.37s/it]
[VAL] Best epoch 3 | Best val score -0.730043 | DKL-prior 0.000286 | BCE 0.604710 | auROC 0.7300:   0%|          | 2/500 [03:40<10:08:57, 73.37s/it]
[VAL] Best epoch 3 | Best val score -0.730043 | DKL-prior 0.000286 | BCE 0.604710 | auROC 0.7300:   0%|          | 2/500 [03:40<10:08:57, 73.37s/it]
[VAL] Best epoch 3 | Best val score -0.730043 | DKL-prior 0.000286 | BCE 0.604710 | auROC 0.7300:   1%|          | 3/500 [03:40<10:07:48, 73.38s/it]
[VAL] Best epoch 4 | Best val score -0.766064 | DKL-prior 0.000325 | BCE 0.579979 | auROC 0.7661:   1%|          | 3/500 [04:53<10:07:48, 73.38s/it]
[VAL] Best epoch 4 | Best val score -0.766064 | DKL-prior 0.000325 | BCE 0.579979 | auROC 0.7661:   1%|          | 3/500 [04:53<10:07:48, 73.38s/it]
[VAL] Best epoch 4 | Best val score -0.766064 | DKL-prior 0.000325 | BCE 0.579979 | auROC 0.7661:   1%|          | 4/500 [04:53<10:07:37, 73.50s/it]
[VAL] Best epoch 5 | Best val score -0.767943 | DKL-prior 0.000378 | BCE 0.575230 | auROC 0.7679:   1%|          | 4/500 [06:07<10:07:37, 73.50s/it]
[VAL] Best epoch 5 | Best val score -0.767943 | DKL-prior 0.000378 | BCE 0.575230 | auROC 0.7679:   1%|          | 4/500 [06:07<10:07:37, 73.50s/it]
[VAL] Best epoch 5 | Best val score -0.767943 | DKL-prior 0.000378 | BCE 0.575230 | auROC 0.7679:   1%|          | 5/500 [06:07<10:06:42, 73.54s/it]
[VAL] Best epoch 6 | Best val score -0.779409 | DKL-prior 0.000396 | BCE 0.563025 | auROC 0.7794:   1%|          | 5/500 [07:21<10:06:42, 73.54s/it]
[VAL] Best epoch 6 | Best val score -0.779409 | DKL-prior 0.000396 | BCE 0.563025 | auROC 0.7794:   1%|          | 5/500 [07:21<10:06:42, 73.54s/it]
[VAL] Best epoch 6 | Best val score -0.779409 | DKL-prior 0.000396 | BCE 0.563025 | auROC 0.7794:   1%|          | 6/500 [07:21<10:05:38, 73.56s/it]
[VAL] Best epoch 7 | Best val score -0.797270 | DKL-prior 0.000362 | BCE 0.543407 | auROC 0.7973:   1%|          | 6/500 [08:34<10:05:38, 73.56s/it]
[VAL] Best epoch 7 | Best val score -0.797270 | DKL-prior 0.000362 | BCE 0.543407 | auROC 0.7973:   1%|          | 6/500 [08:34<10:05:38, 73.56s/it]
